lemma1,lemma2,freq
dat,laten,65
ik,winnen,665
Paulusschool,winnen,1
we,dansen,51
klas,stemmen,1
we,winnen,709
wij,gillen,4
Omg,winnen,1
dreun,komen,1
laat,dreun,1
ik,schrok,562
oorlog,zijn,82
oorlog,staan,1
dood,geval,5
mens,zien,258
mens,sprongen,2
het,staan,284
Amerika,besluiten,1
nieuw,helikopter,1
niemand,komen,65
Amerikaan,zeggen,1
ze,vergeten,272
dit,vergeten,6
hun,gaan,33
die,heelen,2
boos,stof,1
deur,gaan,182
Floor,stapt,1
ze,halen,438
ontbijt,halen,1
ze,lopen,1259
ze,achtervolgmen,1
ze,beginnen,281
man,komen,313
oog,doen,125
ze,beland,8
raamp,zitten,9
donker,ruimte,8
ze,vastgebinden,3
wat,gebeuren,784
ze,horen,1205
voetstap,horen,13
dit,komen,30
ze,blaffen,890
ze,piepen,47
boxershond,bestaan,1
ze,vallen,712
kat,vallen,8
staar,kwispelen,2
hond,willen,606
ze,kauwen,26
ze,kunnen,1123
truc,kunnen,57
leuk,truc,29
dierentuin,sluiten,88
dier,willen,300
vrijheid,willen,21
zich,vervelen,3
Mam,kijken,3
hond,Help,1
je,horen,509
het,horen,356
ja,lijken,5
hond,kijken,26
bruin,hond,21
wit,plek,1
wit,stippelhond,1
wij,hebben,986
jessie,heten,4
ruigharig,dwergteckel,1
ik,uitlaten,213
hondenvoer,eten,42
hond,leren,154
ander,kamer,23
Teefjes,krijgen,1
puppy,krijgen,145
dat,hebben,1030
klein,hond,494
hond,zijn,844
groot,hond,509
rass,zijn,49
klein,rass,3
dat,zien,498
staart,hangen,2
hij,staan,500
krachtig,poot,1
hij,krijgen,852
koek,krijgen,32
mond,hebben,84
groot,mond,18
brief,hebben,24
dat,lukken,343
avontuur,beleven,83
spectaculair,avontuur,1
beroep,beleven,1
hard,beroep,1
onverwacht,ding,2
opa,vertellen,13
kleinkind,vertellen,1
leven,bereiken,1
ding,bereiken,1
fijn,leven,77
vriendin,meenemen,5
je,schminken,4
je,drinken,110
limonade,drinken,6
alles,zetten,21
jongen,zijn,420
bal,zien,18
mooi,bal,7
moeder,vinden,173
hij,vragen,466
nieuw,bal,16
bal,gaan,52
bal,ophalen,10
vreemdeling,komen,4
hij,aanbellen,3
je,liggen,111
bal,liggen,15
jongetje,vragen,3
ze,kwam,12
bal,brengen,7
geluk,brengen,7
circusdier,vinden,6
kunst,doen,1797
dier,hoeven,67
hij,luistren,65
politie,gebruiken,17
neus,hebben,218
goed,neus,65
hond,gebruiken,75
dief,spoor,3
huisdier,houden,3
