,freq,lemma1,lemma2
632,1,1-2,zijn
633,1,1-2-34-vier,nieuw
634,1,1-3,staan
635,2,1-3,verliezen
636,1,1-3,winnen
637,1,1-3-1-2,spelen
638,1,1-3-3,spelen
639,1,1-4,family
640,2,1-4,verliezen
641,1,1-5,eindstand
642,1,1-5,verliezen
643,1,1-8,verliezen
644,1,1-Ze,veer
645,1,1-aprilgrap,bedenken
646,1,1-aprilgrappen,kennen
647,1,1-auto,wensen
648,1,1.000.000,geven
649,1,1.000.000,krijgen
650,1,1.000.000,winnen
651,1,1.000.000.000.000.000.000,hebben
652,1,1.10,die
653,1,1.2.3.4,zeggen
654,1,1.2.3.versnelling,hebben
655,1,1.Pest,erg
656,1,1/2,schep
657,1,1/2,staan
658,1,1/2,zitten
659,1,1/3,aannemen
660,1,1/3,nemen
661,1,1/4,vinden
662,1,1/5,typn
663,1,1/8,Snijd
664,1,10,Jorn
665,1,10,aanvinken
666,1,10,bedoelen
667,1,10,blind
668,1,10,dag
669,1,10,deelt
670,1,10,doorzoeken
671,1,10,gaan
672,1,10,geboren
673,2,10,geven
674,1,10,gooit
675,1,10,haalt
676,5,10,halen
677,11,10,hebben
678,1,10,horen
679,1,10,keer
680,1,10,kijken
681,2,10,komen
682,8,10,krijgen
683,1,10,landen
684,1,10,lezen
685,2,10,maken
686,1,10,meedoen
687,1,10,minuut
688,1,10,opgeven
689,1,10,plaats
690,1,10,spelen
691,1,10,staan
692,1,10,stil
693,1,10,tang
694,1,10,tellen
695,6,10,verjaardag
696,1,10,verschil
697,1,10,vier
698,2,10,vinden
699,6,10,weten
700,1,10,zeggen
701,1,10,zijn
702,1,10,zitten
703,1,"10,40",zeggen
704,1,"10,9,8,7,6,5",schieten
705,1,10-0,staan
706,1,10-0,verliezen
707,2,10-0,winnen
708,1,10-1,verliezen
709,1,10-2,winnen
710,1,10-200,alstublieft
711,1,10-4,eten
712,1,10-4,staan
713,1,10-5,winnen
714,1,10.00,rijden
715,1,10.000,hebben
716,1,10.000,verdienen
717,1,10.000.000.000,zitten
718,1,10.000.000.000.000,staan
719,1,10.000000,winnen
720,1,10.5,speel
721,1,100%,denken
722,1,100%,eens
723,1,100%,gaan
724,1,100%,hebben
725,1,100%,lezen
726,1,100%,werken
727,3,100%,weten
728,1,100,gaan
729,1,100,hebben
730,1,100,kunnen
731,2,100,rijden
732,1,100,verdieping
733,1,"100,0000",winnen
734,1,100-0,staan
735,1,100.000,produceer
736,1,"100.000,-",geven
737,1,100.000.000.000.000.000.000.000.000,vergeten
738,1,1000,denken
739,1,1000,halen
740,2,1000,hebben
741,1,1000,kunnen
742,1,1000,maken
743,1,1000,zitten
744,1,1000.000.000.000.000.000.00,halen
745,1,10000,bellen
746,1,10000,krijgen
747,1,10000,spelen
748,1,10000,willen
749,1,10000,zijn
750,1,"10000,-",geven
751,1,10000.000,zeggen
752,2,100000%,houden
753,1,100000,zijn
754,1,1000000,hebben
755,1,1000000,krijgen
756,1,1000000,zweven
757,1,10000000,vinden
758,1,100000000,gaan
759,1,1000000000,knuffelen
760,1,100000000000,hebben
761,1,100000000000000000,maken
762,1,100000000000000000000,willen
763,1,10002,maken
764,1,100053,geven
765,1,102501679,eten
766,1,103J8Ilias8Hn,fluistren
767,1,103M8Naomi8S,komen
768,1,10:00,doen
769,1,10:15,beginnen
770,1,10jarig,jubileum
771,1,10persoonsbank,hebben
772,1,10x10=100,wat
773,1,11,Sint-Maarten
774,1,11,apparaat
775,1,11,begin
