lemma1,lemma2,freq
in,buiten,9
buiten,en,1890
en,juf,167
juf,zeggen,156
geen,mobiel,774
mobiel,in,133
klas,en,357
juf,pakken,8
pakken,mobiel,1
en,in,4057
de,offie,1
ze,bijten,288
ook,en,1152
en,ik,24051
vinden,ze,2186
ze,ze,388
ze,zijn,9717
zijn,gaan,1885
gaan,tegen,47
tegen,ze,102
zijn,omdat,670
omdat,ze,4777
ze,licht,5
licht,zijn,41
en,mijn,5887
mijn,er,3
er,zeiden,4
zeiden,weer,3
weer,hond,1
hond,dit,17
zijn,mij,56
mij,verhaal,10
verhaal,over,395
over,hond,260
nou,een,122
een,dierentuin,1373
dierentuin,zijn,1331
wel,te,123
te,overdreven,10
overdreven,om,5
om,dan,99
dan,geen,178
geen,dierentuin,380
dierentuin,veel,219
veel,niet,73
veel,maar,664
maar,klein,57
klein,hokk,450
hokk,ook,23
ook,ook,40
ook,te,143
overdreven,maar,17
in,Nederland,1164
Nederland,zijn,267
er,geen,1193
geen,te,12
te,klein,765
en,maar,127
in,ander,155
ander,land,576
land,zijn,138
de,hokk,475
hokk,superklein,2
superklein,maar,2
het,moeten,835
moeten,stoppen,206
stoppen,want,68
zijn,zielig,565
zielig,als,363
het,erin,14
erin,proppen,2
proppen,dat,3
zielig,en,448
als,er,2110
een,jong,97
jong,zijn,470
zijn,dan,4116
moeten,die,177
die,bij,169
de,moeder,1554
moeder,blijven,28
Winter,in,8
de,winter,742
winter,liggen,6
liggen,er,286
er,sneeuw,55
sneeuw,en,92
en,daarmee,86
daarmee,kunnen,93
kunnen,je,13449
je,een,5284
een,sneeuwpop,172
sneeuwpop,maken,124
maken,Lente,3
Lente,in,8
de,lente,418
lente,bloeien,2
bloeien,er,2
er,mooi,73
mooi,bloemet,2
bloemet,en,11
er,worden,623
worden,jong,9
jong,dier,33
dier,geboren,34
geboren,Zomer,1
Zomer,in,6
de,zomer,849
zomer,zijn,224
het,bloedheet,5
bloedheet,dan,1
je,lekker,571
lekker,gaan,84
gaan,zwemmen,378
er,liggen,301
liggen,een,283
een,plas,404
plas,op,11
de,grond,1520
grond,en,297
en,daar,3705
daar,zijn,3281
zijn,hij,2280
hij,over,77
over,uitgegleden,1
uitgegleden,en,4
zijn,zijn,2619
zijn,fiets,1539
fiets,meenemen,6
meenemen,en,353
en,blijven,208
blijven,hij,82
hij,haken,13
haken,aan,50
aan,de,5425
de,fiets,1108
fiets,en,587
zijn,Wim,107
Wim,met,24
met,de,9880
de,schoen,144
schoen,in,28
de,plas,133
plas,vallen,25
vallen,en,709
zijn,T-shirt,473
T-shirt,en,177
zijn,broek,76
broek,niet,10
toen,moeten,990
moeten,hij,570
hij,lopen,754
lopen,naar,1158
huis,en,1878
en,Wim,138
Wim,zeggen,158
zeggen,ik,2260
ik,vallen,225
mijn,fiets,535
fiets,pakken,47
pakken,en,531
ik,blijven,346
blijven,haken,76
haken,dus,3
een,scheur,467
scheur,scheur,1
scheur,in,457
in,mijn,2409
mijn,T-shirt,96
toen,vallen,312
vallen,ik,209
ik,in,1837
in,een,13203
plas,en,134
