,lemma1,lemma2,freq
889,2de,jaar,2
890,2de,kans,1
891,2de,kater,1
892,2de,keren,5
893,2de,kerstdag,2
894,2de,lessen,1
895,2de,optie,1
896,2de,paasdag,5
897,2de,persoon,1
898,2de,plaats,4
899,2de,prijzen,1
900,2de,punt,1
901,2de,staan,1
902,2de,stelling,1
903,2de,ui,1
904,2de,verdieping,3
905,2de,wedstrijd,1
906,2de,week,3
907,2de,wereld,2
908,2de,wk,1
909,2de,worden,1
910,2de,zeilen,1
911,2e,<unk>,1
912,2e,afschieten,1
913,2e,beroep,1
914,2e,bussen,1
915,2e,cavia,1
916,2e,dag,3
917,2e,deel,2
918,2e,deur,2
919,2e,dromen,2
920,2e,fietsen,1
921,2e,film,1
922,2e,gaan,1
923,2e,gedeelte,1
924,2e,hebben,1
925,2e,helft,9
926,2e,hobby,3
927,2e,honk,1
928,2e,jaar,7
929,2e,jong,1
930,2e,keren,9
931,2e,kerstdag,2
932,2e,klas,1
933,2e,klasse,1
934,2e,lessen,2
935,2e,letter,1
936,2e,minuut,2
937,2e,nacht,1
938,2e,paasdag,1
939,2e,persoon,1
940,2e,plaats,1
941,2e,plek,1
942,2e,professor,1
943,2e,ronde,2
944,2e,spel,1
945,2e,spellen,1
946,2e,staan,1
947,2e,stond,1
948,2e,trampoline,1
949,2e,uur,1
950,2e,verdieping,1
951,2e,verschillen,1
952,2e,voetbalster,1
953,2e,volgen,1
954,2e,wedstrijd,5
955,2e,winnen,1
956,2g-simulator,zijn,1
957,2u,wachten,1
958,2x,doen,2
959,2x,eten,2
960,2x,gaan,2
961,2x,hebben,1
962,2x,krijgen,4
963,2x,opereren,1
964,2x,rui,1
965,2x,scheppen,1
966,2x,scoren,1
967,2x,staat,1
968,2x,trainen,2
969,2x,winnen,1
970,2x1,hebben,1
971,3,bel,1
972,3,bijkomen,2
973,3,blijven,2
974,3,bouwen,1
975,3,dan,1
976,3,doen,7
977,3,druppelen,1
978,3,eten,2
979,3,gaan,2
980,3,gamen,1
981,3,geboren,1
982,3,geven,2
983,3,gieten,1
984,3,gooien,1
985,3,hebben,11
986,3,horen,1
987,3,huilen,1
988,3,klapperen,1
989,3,knuffelen,1
990,3,komen,1
991,3,krijgen,3
992,3,kunnen,1
993,3,laten,1
994,3,leggen,1
995,3,liggen,1
996,3,loop,1
997,3,maken,1
998,3,moeten,1
999,3,ophalen,1
1000,3,optillen,1
1001,3,rijen,2
1002,3,roepen,1
1003,3,rust,1
1004,3,schrijven,1
1005,3,scoren,2
1006,3,snappen,1
1007,3,spelen,3
1008,3,staan,4
1009,3,staat,1
1010,3,stop,1
1011,3,temmen,1
1012,3,uitnodigen,1
1013,3,verliezen,1
1014,3,vraag,1
1015,3,weet,1
1016,3,willen,1
1017,3,winnen,1
1018,3,zaten,1
1019,3,zet,1
1020,3,zien,1
1021,3,zijn,1
1022,"3,2,1",tellen,1
1023,"3,2,1",zullen,1
1024,"3,2,1,goooooo",zeggen,1
1025,"3,50",krijgen,1
1026,3-0,maken,1
1027,3-0,nemen,1
1028,3-0,scoren,2
1029,3-0,staan,5
1030,3-0,staat,1
1031,3-0,stond,1
1032,3-0,verliezen,1
1033,3-0,winnen,4
1034,3-0,worden,1
1035,3-1,maken,2
1036,3-1,scoren,3
1037,3-1,verliezen,7
1038,3-1,winnen,3
1039,3-1/1-3,scoren,1
1040,3-12-7,voeren,1
1041,3-2,kappen,1
1042,3-2,pakken,1
1043,3-2,scoren,5
1044,3-2,spelen,1
1045,3-2,staan,2
1046,3-2,winnen,4
1047,3-3,scoren,4
1048,3-3,spelen,1
1049,3-4,maken,1
1050,3-4,scoren,2
1051,3-4,verliezen,2
1052,3-5,afgelopen,1
1053,3-5,verliezen,1
1054,3-5,winnen,1
1055,3-8,spelen,1
1056,3-de,groep,1
1057,3-jarig,geven,1
1058,3-jarig,kind,2
1059,3.00,doen,1
1060,3.000.000.000.000.0,hebben,1
1061,3.36,lopen,1
1062,3/4,geleerd,1
1063,3/4,spelen,1
1064,30,computeren,1
1065,30,gaan,1
1066,30,hebben,2
1067,30,houden,1
1068,30,komen,1
1069,30,krijgen,1
1070,30,staat,1
1071,30,vinden,1
1072,30,vlieg,1
1073,30,zijn,1
1074,"30,-",zijn,1
1075,30-15,staan,1
1076,300,<unk>,1
1077,300,houden,1
1078,300,reden,1
1079,300,zeggen,1
1080,3000,vlieg,1
1081,300km,kunnen,1
1082,30e,verjaardag,1
1083,30ste,jaar,1
1084,30ste,seconde,1
1085,31,zijn,1
1086,"31,5",wegen,1
1087,31-03-2014,gaan,1
1088,310,gaan,1
1089,311,hebben,1
1090,32,hebben,1
1091,32,wonen,1
1092,"32,00",kosten,1
1093,321,gooien,1
1094,321,opstijgen,1
1095,32e,minuut,1
1096,34e,keren,1
1097,"35,000",verdienen,1
1098,350.000,willen,1
1099,36,hebben,1
1100,360,beginnen,1
1101,360,doen,2
1102,360,hebben,2
1103,360,spel,1
1104,360,spelen,1
1105,360,vinden,2
1106,36jarige,dj,1
1107,37ste,minuut,1
1108,38,gaan,1
1109,38,wonen,1
1110,38,zien,1
1111,38.6768.00000,vallen,1
1112,39,hebben,1
1113,39,vinden,2
1114,39ste,minuut,1
1115,3:0,winnen,1
1116,3:cornet,bespelen,1
1117,3d,<unk>,1
1118,3d,bioscoop,1
1119,3d,film,1
1120,3d,hoofd,2
1121,3d,kaarten,2
1122,3d,krijgen,1
1123,3d,printen,1
1124,3d,spellen,1
1125,3d,tekening,1
1126,3d-blokken,teek,1
1127,3d-boeken,vel,1
1128,3d-bril,halen,1
1129,3d-kaart,maken,4
1130,3d-kijkdoos,zien,1
1131,3d-printen,maken,1
1132,3d-puzzelen,hebben,1
1133,3d-puzzelen,maken,1
1134,3d-tekening,maken,1
1135,3d-tv,hebben,1
1136,3d-tv,krijgen,1
1137,3d-tv,zien,1
1138,3de,dag,2
1139,3de,doen,1
1140,3de,dromen,1
1141,3de,etage,1
1142,3de,gaan,1
1143,3de,jaar,2
1144,3de,plaats,1
1145,3de,plek,1
1146,3de,prijzen,1
1147,3de,spellen,1
1148,3de,wedstrijd,2
1149,3de,worden,1
1150,3deffect,krijgen,1
1151,3dhuizen,teken,1
1152,3dlel,vinden,1
1153,3drie,hebben,1
1154,3ds,zijn,1
1155,3dtv,hangen,1
1156,3e,album,1
1157,3e,bekeren,1
1158,3e,boterham,1
1159,3e,buik,1
1160,3e,dag,2
1161,3e,dromen,1
1162,3e,examen,1
1163,3e,geest,1
1164,3e,groep,2
1165,3e,hobby,3
1166,3e,hok,2
1167,3e,jaar,3
1168,3e,keren,4
1169,3e,minuut,1
1170,3e,plaats,1
1171,3e,plek,1
1172,3e,ronde,1
1173,3e,staan,2
1174,3e,uur,1
1175,3e,verschillen,1
1176,3e,versnelling,1
1177,3e,weghalen,1
1178,3e,wereldoorlog,2
1179,3kind,geven,1
1180,3p,staat,1
1181,3x,eten,1
1182,3x,gaan,1
1183,3x,kijken,1
1184,3x,krijgen,2
1185,3x,scoren,1
1186,3x,spelen,1
1187,3x,trainen,1
1188,3x,uitlaat,4
1189,4,doen,4
1190,4,duren,1
1191,4,gaan,1
1192,4,gebruik,1
1193,4,getikt,1
1194,4,gooien,1
1195,4,hebben,10
1196,4,herdenken,1
1197,4,kijken,1
1198,4,kletteren,1
1199,4,komen,1
1200,4,kopen,1
1201,4,laten,1
1202,4,maken,4
1203,4,mogen,1
1204,4,roepen,1
1205,4,scheppen,1
1206,4,scoren,1
1207,4,slapen,1
1208,4,spelen,3
1209,4,staan,1
1210,4,stromen,1
1211,4,trouw,1
1212,4,vallen,1
1213,4,vinden,2
1214,4,vlieg,1
1215,4,winnen,2
1216,4,zijn,1
1217,4,zitten,1
1218,"4,50",halen,1
1219,4-1,staan,1
1220,4-1,verliezen,1
1221,4-1,winnen,6
1222,4-2,maken,1
1223,4-2,scoren,1
1224,4-2,staan,1
1225,4-2,verliezen,1
1226,4-2,winnen,4
1227,4-3,scoren,4
1228,4-3,staan,1
1229,4-3,verliezen,2
1230,4-3,winnen,3
1231,4-4,scoren,2
1232,4-4,spelen,1
1233,4-4,worden,1
1234,4-5,scoren,1
1235,4.0,afgelopen,1
1236,4.4,hebben,1
1237,4.83,betalen,1
1238,4.het,onderzoeken,1
