lemma1,lemma2,freq
dokter,zeggen,78
dat,gebeuren,231
hij,heten,1084
hond,verschil,3
Fries,stabij,21
tand,houden,6
gebruik,houden,1
kauwbot,houden,1
hond,eten,597
kind,moeten,283
telefoon,moeten,24
van,vinden,111
je,brengen,174
scholen,bel,19
mens,bel,105
ouder,bel,239
crimineel,gaan,1
ding,vraag,14
crimineel,inbreken,1
telefoon,mogen,147
voice,kijken,15
erg,hebben,16
buikpijn,hebben,49
ik,slapen,779
vader,masseren,1
buik,masseren,1
heel,nacht,62
kramp,komen,1
vader,gaan,319
ik,test,4
ik,doorsturen,1
ze,bellen,177
ziekenhuis,bellen,6
plaats,hebben,30
ander,ziekenhuis,3
we,wacht,206
ik,prik,5
bloeden,prik,4
blindedarmontsteking,hebben,3
test,komen,1
niksen,zijn,187
ik,opgelucht,2
het,brengen,36
het,verdragen,1
wiek,draaien,19
graan,gemaal,6
stenen,doen,3
we,verkopen,42
zoveel,doen,39
doolhof,doen,2
dier,opgesloten,81
dier,zit,763
ze,moeten,919
vrijen,leven,63
wat,vinden,1908
ik,voetbal,376
één,helft,90
helft,beginnen,24
twee,helft,117
ik,wisselen,15
sommige,gaan,26
ik,nemen,673
penalty,nemen,26
we,spelen,269
droomhuis,voldoen,1
uitzicht,hebben,40
rood,liggen,1
ik,binnenkomen,23
vergelen,tapijt,1
goudkleurig,kroonluchter,1
ik,doorloop,1
plasma-tv,staan,1
u,staan,3
springkasteel,staan,1
tien,verdieping,1
goed,keukenapparatuur,1
je,lezen,384
dier,zijn,592
die,uitmaken,4
dier,horen,601
vrije,natuur,190
leven,geven,23
directeur,willen,2
gelden,willen,38
paren,zijn,34
warm,hokken,28
u,vinden,61
ze,rijen,168
hem,doen,283
hem,brengen,163
trucje,doen,421
ze,tegenstribbelen,2
pats,tegenstribbelen,1
slag,weghalen,1
hulpeloos,dier,2
die,misten,4
kind,misten,5
dit,kunnen,99
mening,zijn,201
veel,leer,941
vreemd,dier,254
normaal,dier,13
dier,gaan,262
die,overleven,21
die,bedreigen,62
groot,dier,75
geldspoor,zien,2
ik,volgen,50
het,volgen,10
eiland,zien,14
ik,horen,1430
big,horen,1
luiden,volgen,5
big,volgen,2
wie,maken,13
boerderij,maken,8
iemand,praten,11
iemand,zien,169
hij,lijken,67
hij,roepen,309
vriendin,roepen,4
stormen,zien,2
mij,zien,75
goud,vallen,1
het,zeggen,506
jijen,zeggen,99
hij,boeien,1
wat,boeien,10
dat,boeien,34
die,gebeurt,2
bomen,gebeurt,1
we,doden,7
hem,doden,15
draaien,maken,3
pijn,hebben,424
sum,schieten,1
hem,schieten,50
bomen,gebeuren,1
gelden,komen,14
ik,gillen,96
je,willen,3349
gelden,hebben,458
"900,000",hebben,1
ipad,vinden,19
leuk,vinden,185
elk,doen,5
suus,hebben,1
kip,hebben,43
brood,bak,6
mens,komen,447
wat,kopen,110
je,kopen,688
kippenvoer,kopen,1
ander,mens,666
stuk,gaan,107
snel,stuk,14
piratenschip,vinden,1
leuk,piratenschip,1
je,karten,3
wij,gaan,1413
banen,hebben,85
blauwe,banen,2
rode,banen,2
zwarte,banen,2
baan,doen,4
ik,hangen,40
je,staan,193
je,loop,268
je,hang,18
je,boogschieten,5
tv,kijken,1358
tablet,kijken,4
voetballen,kijken,77
leuk,kijken,4
goei,club,7
tablet,vinden,20
veel,kijken,10
klimrek,doen,2
leuk,klimrek,2
je,knikkeren,20
je,schommelen,64
slechten,weer,391
proefjesmiddag,hebben,3
ik,helpen,436
toffeethee,hebben,1
glas,dompelen,1
koud,wateren,18
glas,worden,1
warm,glas,2
glas,blijven,1
koude,glas,2
ik,uitproberen,7
proef,uitproberen,1
iets,gebeuren,264
ik,proberen,238
het,maken,1201
klas,lopen,21
groep,krijgen,34
lieven,groep,1
jong,zitten,20
jarig,jong,1
die,denken,122
glas,halen,4
wateren,halen,33
schoon,glas,1
meid,kauwen,1
half,uur,539
isis,leer,1
ik,leer,168
ik,snappen,1088
moeilijk,ding,25
vogel,flapperen,97
vogel,drinken,106
vliegtuig,werken,120
vogel,bouwen,213
nestje,bouwen,28
vliegtuig,vlieg,916
vliegtuig,tanken,103
worm,eten,96
wateren,drinken,464
cavia,hebben,38
kareltje,heten,2
brok,eten,398
hij,houden,260
ze,oefenen,121
kunstje,oefenen,9
je,afbeulen,1
ze,afbeulen,4
dat,denken,382
ze,geven,986
iets,geven,39
doelen,hebben,15
leuk,hebben,29
circus,gaan,36
mens,gaan,496
gevoelen,hebben,177
ze,klap,8
ze,zien,2638
zwemmen,leren,2
rog,zwemmen,2
jong,klim,1
verblijven,maken,10
idee,hebben,334
blinddoeken,krijgen,7
stilte,horen,1
doods,stilte,5
ik,afdoen,4
blinddoeken,afdoen,5
ik,geloof,37
oog,geloof,27
opdracht,doen,64
vrije,opdracht,9
ik,rijden,202
paard,rijden,27
dit,doen,390
veel,kennen,21
kind,wonen,54
vriendin,hebben,331
zij,heten,110
sterre,heten,3
haar,kennen,23
vriend,hebben,807
ik,halen,482
vriendin,halen,22
tv-serie,spel,1
dat,heten,251
ik,zingen,153
hij,skateboarden,2
vriend,vinden,39
gitaar,spel,34
mooi,muziek,19
gitaar,hebben,18
verschillende,soort,397
elektrisch,gitaar,14
akoestisch,gitaar,9
tennisracket,doen,1
ik,trainen,287
je,trainen,207
veel,trainen,17
sporten,vinden,242
groot,heldin,3
hij,schieten,167
hij,spelen,293
wim,fietsen,132
fietsen,komen,34
wim,proberen,23
fietsen,halen,35
hij,zitten,752
hij,komen,1934
nat,voet,109
tv,worden,1
tv,vinden,32
ander,huis,32
ding,vinden,121
ik,opstaan,87
dat,vermoeiend,22
zonnen,komen,39
zonnebril,halen,1
iets,kopen,161
bff,komen,3
ik,vroeg,533
zij,willen,121
het,overnemen,13
dat,willen,982
we,kopen,293
suikerspin,kopen,8
verhalen,hebben,29
mooi,verhalen,21
niksen,doen,1009
agente,gaan,6
die,gooien,75
iemand,gooien,22
boef,hebben,11
mes,hebben,38
hij,maken,586
slot,maken,9
gelden,liggen,7
hij,nemen,220
alles,nemen,10
agente,stappen,2
politie,roepen,10
agent,zijn,2
agente,pakken,2
zij,pakken,9
pistool,pakken,26
stoppen,roepen,7
agent,gaan,3
hem,slaan,108
hond,kunnen,181
commando,kunnen,3
ander,hond,454
opstel,houden,5
haai,noemen,2
ze,noemen,198
witten,haai,16
dat,staat,97
zeehond,staat,1
camouflage,hebben,2
goei,camouflage,2
heel,wereld,404
haai,spoelen,1
hondshaai,spoelen,1
kleine,haai,1
driehonderdenzeventig,zijn,1
haai,zijn,12
verschillende,haai,1
veel,schrijven,51
je,bent,715
woord,schrijven,844
het,snappen,366
kind,zitten,74
het,blijven,337
woord,gebruik,249
iedereen,gebruik,14
project,openen,4
project,gaan,15
toneelstuk,zijn,7
leuk,toneelstuk,3
die,vastbinden,6
hij,stelen,97
paard,stelen,25
kleuter,gaan,6
woord,bedenken,14
wat,horen,143
kleren,horen,1
stappen,nemen,5
brood,nemen,18
plak,leggen,139
kaas,nemen,1
plakje,leggen,127
stuk,doen,96
boter,smelten,68
brood,leggen,419
je,halen,669
hem,halen,246
kaas,afsmelten,46
ze,worden,1338
hokken,krijgen,285
geweldig,hokken,1
circus,verhuizen,1
dier,krijgen,625
ruimte,krijgen,112
kleine,ruimte,56
dier,mogen,157
iemand,weet,21
gelden,verdienen,429
mens,vinden,1326
dier,doen,858
mens,raken,31
die,staan,242
verzorger,willen,6
dierentuin,blijven,1295
wij,komen,111
ding,weet,56
nieuw,ding,105
dier,ontdekken,14
nieuw,dier,104
veel,blijven,3
je,jagen,19
voetballen,vinden,315
iets,vertellen,198
ie,gaan,167
je,scoren,89
lek,sliden,1
ballen,hebben,194
je,opassen,2
overtreding,maken,30
smerig,overtreding,1
je,schorsen,8
vrije,tijd,353
kind,gaan,1000
gelden,kosten,394
uitrusting,kosten,1
kind,kies,64
dagge,gaan,18
